ID,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,temperature,weather_description,Traffic_Level,Distance (km),Delivery Duration
8B45,4.8,Snack,motorcycle,25.94,haze,High,17.81,47.17
716A,4.5,Snack,motorcycle,28.49,overcast clouds,Very High,26.14,56.02
C5E9,4.5,Snack,scooter,28.81,scattered clouds,High,17.48,44.12
9D5,4.9,Drinks,electric_scooter,23.94,haze,Moderate,8.03,35.78
3BF9,4.6,Drinks,scooter,20.61,clear sky,Moderate,10.28,32.3
7339,4.6,Drinks,motorcycle,23.68,overcast clouds,Very High,17.33,59.88
9BE5,4.6,Drinks,scooter,26.01,haze,Moderate,11.09,33.77
D9A9,4.1,Buffet,motorcycle,28.68,scattered clouds,Very Low,2.43,11.93
4845,4.8,Drinks,motorcycle,20.81,clear sky,High,13.86,48.82
B7D0,4.5,Buffet,motorcycle,20.61,clear sky,High,10.91,33.47
97A1,4.9,Snack,electric_scooter,26.0,haze,High,18.48,44.68
9D4F,4.7,Meal,motorcycle,23.83,haze,High,14.29,38.72
BAE6,4.2,Buffet,motorcycle,23.59,haze,Very Low,2.54,11.97
DFF5,4.6,Snack,motorcycle,28.0,haze,Moderate,12.65,31.82
1675,4.4,Buffet,motorcycle,22.86,clear sky,Moderate,10.4,32.9
3239,3.7,Drinks,motorcycle,24.08,haze,Moderate,9.15,36.23
F26,4.4,Buffet,motorcycle,22.48,clear sky,Low,3.7,17.83
A081,4.4,Drinks,scooter,21.18,mist,High,18.49,48.78
16D7,4.1,Snack,motorcycle,22.86,haze,Very High,24.79,75.1
CCE8,4.7,Meal,motorcycle,22.69,clear sky,Moderate,12.66,27.48
1175,4.6,Snack,motorcycle,22.94,clear sky,Moderate,10.74,34.57
C460,3.3,Meal,motorcycle,8.24,clear sky,Very High,54.27,138.73
724E,4.4,Snack,motorcycle,25.79,haze,High,16.05,43.4
489E,4.3,Buffet,motorcycle,23.17,haze,Very High,20.85,70.77
1262,4.1,Buffet,motorcycle,22.94,haze,Moderate,10.64,31.9
AC27,4.6,Snack,motorcycle,22.29,clear sky,Very High,27.38,54.52
AA82,4.7,Snack,motorcycle,24.18,haze,High,16.14,37.08
8BC5,4.4,Meal,scooter,22.98,clear sky,Very High,20.33,66.32
44BE,4.8,Buffet,scooter,24.0,clear sky,Very High,25.82,60.22
121A,4.7,Drinks,motorcycle,22.94,clear sky,Moderate,7.5,32.83
D13C,4.6,Buffet,motorcycle,11.16,clear sky,Very High,36.47,96.05
695A,5.0,Drinks,motorcycle,23.9,haze,High,16.75,52.97
9C7D,4.7,Buffet,scooter,23.9,haze,High,11.29,38.93
8.00E+32,4.5,Snack,scooter,23.88,haze,Moderate,8.02,34.53
724C,4.0,Snack,scooter,24.92,mist,Moderate,8.23,29.17
A68,4.8,Snack,scooter,26.08,haze,High,19.16,48.38
3B52,4.9,Snack,motorcycle,28.57,mist,Very Low,3.21,16.97
39F4,4.8,Drinks,motorcycle,26.01,haze,Low,5.17,23.42
90F3,2.9,Meal,motorcycle,27.99,clear sky,Very High,25.98,49.77
F02,4.8,Meal,electric_scooter,22.77,haze,High,16.3,45.33
56FA,4.9,Snack,motorcycle,20.38,clear sky,Low,5.14,17.65
4C33,4.7,Drinks,motorcycle,22.62,haze,Very High,30.75,86.33
DF7A,4.0,Drinks,scooter,23.93,clear sky,Low,8.12,29.83
C377,4.6,Meal,motorcycle,21.6,haze,Moderate,12.37,29.28
992,4.8,Meal,motorcycle,24.93,clear sky,Very High,24.21,47.82
A65E,4.7,Snack,motorcycle,24.0,clear sky,Very High,25.82,62.15
9D7F,4.8,Snack,motorcycle,23.01,haze,Very High,17.36,54.9
4936,4.6,Buffet,scooter,22.91,haze,Moderate,8.38,31.83
8B2C,4.6,Drinks,electric_scooter,22.72,haze,Very High,17.68,58.32
682E,3.5,Meal,scooter,22.64,haze,Very High,25.29,56.03
CAA,4.8,Snack,scooter,25.86,haze,Low,2.99,16.68
7.00E+72,4.1,Buffet,scooter,28.43,overcast clouds,Very High,23.8,52.27
A25A,3.8,Drinks,electric_scooter,22.91,clear sky,High,14.96,53.03
C97C,4.7,Meal,scooter,25.68,clear sky,Moderate,7.63,23.42
E278,3.6,Drinks,scooter,22.97,clear sky,Very High,28.6,73.8
15FC,4.8,Drinks,scooter,22.91,clear sky,Very High,29.35,78.82
14DF,4.5,Meal,scooter,23.8,haze,Moderate,8.45,25.95
6196,4.6,Snack,motorcycle,28.43,overcast clouds,Very High,23.8,54.27
2F2F,4.7,Meal,motorcycle,24.93,clear sky,High,21.96,43.92
77A0,4.1,Meal,motorcycle,26.0,haze,Moderate,13.34,31.22
5014,4.1,Snack,motorcycle,23.56,clear sky,Very High,19.5,55.37
E0E7,4.1,Drinks,motorcycle,28.01,haze,Very High,20.52,59.37
BBC8,4.9,Snack,motorcycle,23.39,clear sky,Very High,19.12,58.67
6B6F,5.0,Buffet,scooter,23.09,haze,Very Low,2.19,12.82
BC95,4.8,Snack,motorcycle,23.57,haze,High,13.52,45.2
1A97,4.7,Meal,scooter,22.91,haze,Low,6.96,15.92
72A1,4.8,Buffet,motorcycle,28.01,smoke,Low,2.19,26.08
1FC9,4.8,Snack,motorcycle,22.16,haze,Low,2.22,16.08
2C1A,4.8,Drinks,motorcycle,26.01,haze,High,19.24,55.55
D260,4.7,Buffet,scooter,25.02,clear sky,Very High,23.59,50.1
6C82,4.5,Drinks,scooter,23.29,clear sky,High,12.04,46.8
7494,4.7,Meal,motorcycle,22.14,haze,High,16.98,38.02
D8AC,4.6,Buffet,motorcycle,8.24,clear sky,Very High,46.64,118.92
E037,5.0,Buffet,motorcycle,28.02,haze,Moderate,9.23,28.87
8EA9,5.0,Buffet,motorcycle,28.44,overcast clouds,Very High,16.35,54.77
3965,4.9,Meal,motorcycle,22.71,haze,High,12.94,41.4
6DE4,4.2,Meal,scooter,20.29,clear sky,High,21.9,31.75
8DDC,4.9,Meal,motorcycle,21.03,mist,Moderate,7.34,30.3
8128,4.4,Buffet,motorcycle,26.01,haze,Moderate,7.94,27.57
835,4.6,Meal,motorcycle,24.94,mist,Low,7.0,21.85
7CCA,4.8,Meal,motorcycle,23.6,haze,Low,4.0,13.08
B529,4.3,Snack,scooter,20.81,clear sky,High,15.09,35.27
79DF,4.3,Meal,motorcycle,21.03,mist,Moderate,6.75,27.48
2.00E+13,5.0,Meal,scooter,22.76,haze,High,9.54,42.32
7101,5.0,Meal,scooter,23.77,haze,Moderate,16.2,27.85
CFB0,4.8,Snack,motorcycle,21.82,haze,Moderate,8.45,27.13
622F,4.9,Snack,motorcycle,24.92,mist,Moderate,12.79,33.55
79CE,4.9,Drinks,motorcycle,22.37,haze,Moderate,9.38,37.83
83D9,4.7,Buffet,electric_scooter,22.94,haze,High,15.02,40.47
4C70,4.7,Drinks,motorcycle,25.92,haze,Low,3.9,21.87
3759,4.6,Buffet,motorcycle,22.09,haze,Moderate,13.25,33.63
4CB,4.6,Buffet,motorcycle,22.91,clear sky,High,13.26,41.88
5C3D,4.8,Buffet,motorcycle,22.86,haze,High,16.05,47.05
E22D,4.2,Drinks,scooter,28.03,haze,Moderate,14.09,38.62
A17B,4.8,Meal,scooter,26.1,haze,High,18.06,35.85
E25D,4.9,Buffet,motorcycle,25.46,clear sky,Very Low,1.75,8.13
A7BE,4.3,Meal,motorcycle,22.14,haze,Moderate,12.79,30.53
18F6,4.7,Buffet,motorcycle,20.09,mist,Moderate,8.81,33.1
6566,4.7,Drinks,motorcycle,22.94,haze,High,15.02,47.48
9.00E+27,4.9,Snack,motorcycle,26.01,haze,Low,5.22,18.58
1A51,4.3,Drinks,motorcycle,24.92,mist,Moderate,9.3,35.42
9029,4.7,Snack,motorcycle,23.48,clear sky,Very High,25.07,67.62
659D,4.5,Drinks,motorcycle,24.93,clear sky,High,19.68,50.97
3.50E+05,4.6,Drinks,scooter,24.93,clear sky,High,18.0,48.77
BE09,4.6,Snack,motorcycle,22.24,clear sky,Very High,31.62,57.4
34BF,4.7,Meal,scooter,23.73,haze,Moderate,5.63,23.18
D181,4.7,Drinks,motorcycle,25.02,clear sky,Very High,19.8,58.55
34DF,4.4,Snack,motorcycle,26.11,haze,High,21.09,49.82
5D89,4.9,Drinks,motorcycle,26.01,haze,Moderate,13.28,39.72
55FA,4.8,Buffet,motorcycle,26.25,haze,Very High,31.46,51.92
AB5F,4.9,Snack,scooter,24.95,mist,High,16.07,46.98
A502,4.0,Meal,motorcycle,24.92,mist,Moderate,13.46,33.18
9DF3,4.9,Drinks,scooter,22.82,haze,High,16.69,48.27
351C,4.4,Buffet,electric_scooter,27.59,smoke,Very High,22.07,71.57
B3F4,4.2,Snack,electric_scooter,25.8,haze,Moderate,8.02,30.52
7D92,4.9,Snack,motorcycle,22.65,haze,Very High,22.49,63.07
B9C1,4.8,Buffet,motorcycle,24.94,mist,Low,6.64,21.55
DCE6,4.7,Buffet,scooter,25.48,clear sky,High,17.14,43.15
8B7C,4.3,Buffet,motorcycle,27.98,smoke,Moderate,6.5,32.38
3142,4.7,Snack,scooter,22.18,haze,Low,3.93,18.97
14A2,4.8,Meal,motorcycle,22.2,haze,Moderate,14.3,29.85
2546,4.0,Buffet,motorcycle,20.81,clear sky,High,15.21,33.72
A3E4,4.6,Drinks,scooter,25.96,haze,Moderate,11.45,37.4
7F98,4.6,Drinks,motorcycle,23.1,clear sky,Low,2.41,24.38
2268,4.3,Buffet,scooter,24.92,mist,Moderate,8.4,27.65
DB4D,4.7,Snack,motorcycle,25.95,clear sky,High,8.24,38.57
597A,4.4,Snack,motorcycle,26.11,haze,Very High,23.71,56.32
5785,4.7,Snack,motorcycle,20.8,clear sky,High,18.2,37.98
5A09,4.5,Drinks,electric_scooter,24.95,mist,Moderate,12.11,41.75
1378,4.6,Meal,scooter,23.32,clear sky,High,25.66,43.03
1FF9,4.7,Buffet,scooter,22.91,haze,Low,5.6,23.13
962C,4.3,Snack,motorcycle,28.54,overcast clouds,Very High,18.22,66.35
1AA1,4.5,Meal,motorcycle,22.49,haze,High,12.05,36.1
B5CA,4.8,Drinks,motorcycle,28.01,smoke,High,12.06,48.98
808B,4.7,Drinks,electric_scooter,26.11,haze,High,16.73,46.97
D50D,4.9,Drinks,scooter,11.16,clear sky,Very High,30.04,88.85
3DBF,4.9,Buffet,motorcycle,24.93,clear sky,High,18.0,41.73
9F2E,4.0,Drinks,motorcycle,25.78,haze,High,13.92,42.47
E214,4.6,Snack,scooter,21.01,haze,Very High,28.48,77.2
579,4.6,Meal,scooter,22.69,haze,High,11.41,35.65
78ED,4.2,Snack,motorcycle,24.96,mist,Low,4.02,21.5
392E,4.8,Snack,scooter,22.68,clear sky,Low,4.42,21.62
9A3F,4.8,Drinks,scooter,20.15,scattered clouds,High,19.69,50.97
D57B,4.6,Drinks,motorcycle,22.97,clear sky,Very High,23.89,57.02
55AA,4.8,Drinks,motorcycle,24.16,haze,Low,5.53,23.63
E02F,4.2,Buffet,scooter,16.05,clear sky,Moderate,11.05,32.38
800E,4.8,Drinks,scooter,23.94,haze,High,14.9,50.28
34A8,4.2,Buffet,scooter,23.58,clear sky,Very High,22.85,53.35
921B,4.8,Drinks,motorcycle,22.91,clear sky,High,11.89,43.12
3B2D,4.7,Meal,motorcycle,24.0,clear sky,Very High,25.25,57.78
5126,4.5,Meal,motorcycle,22.74,haze,High,12.73,35.63
562C,4.8,Buffet,motorcycle,20.09,mist,High,11.31,39.72
BDF3,4.7,Meal,scooter,22.79,haze,Low,5.75,18.18
ABFE,4.8,Buffet,motorcycle,20.04,mist,Low,3.05,19.52
DBEA,4.2,Snack,motorcycle,27.97,haze,Very High,24.36,59.53
C5A6,5.0,Buffet,motorcycle,17.24,clear sky,Moderate,9.52,27.13
95BB,4.7,Meal,motorcycle,29.0,smoke,Moderate,6.81,29.62
A7E1,4.9,Snack,motorcycle,22.46,clear sky,Low,8.31,24.88
A456,4.6,Snack,scooter,24.97,mist,Low,6.65,26.1
2902,4.0,Drinks,motorcycle,21.03,mist,Low,5.58,30.65
4F1,4.6,Meal,motorcycle,26.06,haze,Moderate,14.79,31.27
CEAB,5.0,Snack,motorcycle,21.44,haze,Very High,17.36,53.22
4.00E+65,4.8,Buffet,motorcycle,22.81,haze,Very High,18.16,50.55
25EE,4.5,Buffet,scooter,23.39,clear sky,Very High,16.89,55.75
7EE3,4.6,Snack,motorcycle,28.5,overcast clouds,Very High,19.45,65.3
87F3,4.8,Buffet,motorcycle,22.77,haze,High,7.0,35.95
800C,5.0,Buffet,scooter,25.88,haze,Moderate,7.02,25.63
BB61,4.5,Meal,motorcycle,25.99,haze,Moderate,13.63,31.33
BD66,4.2,Buffet,motorcycle,22.1,haze,Very Low,2.11,12.43
C43E,4.9,Meal,scooter,28.7,broken clouds,High,12.82,37.48
9BDC,4.6,Buffet,scooter,28.53,overcast clouds,Very High,28.74,78.38
22A7,4.4,Meal,motorcycle,24.01,haze,Very Low,3.31,10.93
4A3D,4.7,Snack,scooter,28.51,overcast clouds,Very High,30.4,76.8
9466,4.6,Meal,scooter,20.8,clear sky,Moderate,13.56,26.15
227C,4.9,Buffet,scooter,23.59,haze,Very Low,2.42,13.38
8731,4.7,Buffet,scooter,23.08,haze,Very Low,1.96,13.77
6926,4.8,Buffet,motorcycle,20.1,mist,Low,4.41,22.03
88A5,4.6,Drinks,motorcycle,20.55,clear sky,Moderate,6.61,30.17
7.90E+01,4.7,Buffet,motorcycle,22.86,haze,High,16.05,48.02
219C,4.7,Snack,motorcycle,24.91,clear sky,Very High,21.05,51.57
4EDC,4.3,Meal,motorcycle,28.05,clear sky,Moderate,8.85,26.95
2F90,4.5,Buffet,motorcycle,23.03,clear sky,High,15.58,42.82
2676,4.5,Snack,scooter,22.96,clear sky,Low,6.27,23.53
2341,4.6,Drinks,motorcycle,23.4,haze,Moderate,10.09,36.68
850B,4.6,Snack,motorcycle,23.46,clear sky,Very High,25.88,65.77
1030,4.5,Drinks,motorcycle,22.98,clear sky,Very High,19.34,71.58
AAE0,4.6,Buffet,motorcycle,28.51,overcast clouds,Very High,18.23,62.12
6655,5.0,Buffet,motorcycle,28.45,overcast clouds,High,21.53,46.95
909E,4.9,Meal,scooter,25.98,haze,High,16.91,37.92
A9F6,4.9,Drinks,motorcycle,23.56,clear sky,Very High,20.4,63.85
DE03,4.6,Snack,motorcycle,25.62,clear sky,High,16.95,45.0
3650,4.6,Snack,electric_scooter,20.61,clear sky,Moderate,8.46,27.92
6103,4.5,Drinks,scooter,24.94,mist,Low,6.63,28.53
6A52,5.0,Drinks,scooter,26.03,haze,Moderate,9.16,33.43
4DAC,4.7,Buffet,scooter,28.48,mist,Very High,13.7,57.42
1284,4.9,Drinks,motorcycle,22.44,clear sky,Very High,18.2,56.07
88C7,4.6,Meal,scooter,24.94,mist,Low,3.79,17.25
87D5,4.7,Drinks,motorcycle,20.61,clear sky,Low,6.85,29.3
6011,4.9,Meal,scooter,23.53,clear sky,Very High,31.94,63.73
8084,5.0,Snack,motorcycle,24.98,mist,Very Low,1.88,14.05
2A69,5.0,Drinks,motorcycle,28.44,mist,Very High,28.39,62.27
1F2F,4.1,Snack,motorcycle,22.19,haze,Moderate,11.41,34.68
DD7E,3.5,Buffet,scooter,25.02,clear sky,Very High,25.74,56.92
8A78,4.5,Drinks,scooter,20.29,clear sky,High,24.9,51.73
981E,5.0,Meal,motorcycle,23.32,clear sky,Very High,23.97,67.65
262B,4.0,Snack,motorcycle,23.93,haze,High,19.95,42.92
4022,4.7,Drinks,motorcycle,20.19,mist,High,16.45,50.0
47A3,4.7,Buffet,scooter,27.84,smoke,Moderate,8.18,35.48
88F3,4.4,Drinks,motorcycle,22.51,clear sky,Very High,27.14,86.95
9519,3.8,Meal,motorcycle,23.81,clear sky,Very High,31.0,67.25
9AE3,4.9,Buffet,scooter,22.1,haze,Low,6.92,22.83
7D09,4.7,Snack,motorcycle,28.57,mist,Low,3.19,18.15
5F4A,4.9,Buffet,motorcycle,22.98,clear sky,Very High,17.9,54.97
C277,4.6,Meal,motorcycle,26.32,clear sky,Very Low,2.38,9.3
CC0F,4.5,Snack,motorcycle,21.56,haze,High,17.72,49.58
AAF7,4.6,Buffet,motorcycle,26.03,haze,Moderate,9.89,27.83
B182,4.9,Drinks,motorcycle,22.86,haze,High,14.07,49.25
C26B,4.6,Drinks,motorcycle,23.9,clear sky,Low,5.81,27.93
8BFB,4.9,Drinks,motorcycle,20.2,mist,Low,8.61,28.93
B840,4.4,Meal,motorcycle,22.52,haze,Very High,32.68,64.47
34B6,4.6,Buffet,motorcycle,22.71,haze,Very High,21.08,53.17
62D7,3.8,Buffet,motorcycle,20.8,clear sky,Moderate,16.31,29.22
4FAE,4.6,Meal,motorcycle,23.24,haze,Low,4.86,19.45
DF60,4.8,Snack,motorcycle,28.86,broken clouds,High,12.36,42.25
92A3,4.9,Buffet,scooter,22.35,clear sky,High,16.48,44.1
640A,4.4,Meal,motorcycle,23.02,clear sky,Moderate,4.66,21.83
357F,4.7,Meal,motorcycle,23.37,haze,Low,3.97,17.63
C434,4.8,Buffet,motorcycle,10.26,clear sky,Very High,24.98,78.07
E19F,4.6,Drinks,motorcycle,23.56,clear sky,Very High,23.53,57.62
E18F,4.6,Meal,scooter,21.92,haze,Low,6.04,20.17
2AD2,5.0,Drinks,motorcycle,27.63,clear sky,Very High,20.87,62.13
6FEA,4.9,Drinks,scooter,28.14,smoke,High,11.92,50.15
C6E2,4.6,Buffet,scooter,27.99,haze,Low,2.66,18.72
6051,4.9,Drinks,motorcycle,24.95,mist,Very Low,2.77,21.53
42AD,4.7,Snack,motorcycle,25.96,haze,Moderate,11.45,32.38
3A90,4.7,Snack,motorcycle,23.31,haze,Very Low,2.41,15.08
7D97,5.0,Meal,scooter,23.31,haze,Low,5.39,21.6
5AF8,4.0,Buffet,scooter,20.61,clear sky,Moderate,9.21,25.77
B14,4.8,Snack,scooter,25.97,haze,Moderate,8.86,26.5
3E6F,4.6,Snack,scooter,20.19,mist,High,17.99,46.63
6.20E+02,4.9,Drinks,motorcycle,22.33,haze,Very High,20.5,57.87
5BCD,4.8,Meal,electric_scooter,23.94,haze,High,16.67,45.63
A0A4,4.6,Buffet,scooter,22.79,haze,Moderate,8.9,29.12
23D7,4.8,Meal,motorcycle,24.95,mist,High,16.42,38.98
660F,4.8,Snack,motorcycle,23.58,clear sky,Very High,23.24,54.43
179F,3.8,Drinks,electric_scooter,24.94,mist,High,16.89,50.13
2D70,4.9,Snack,scooter,25.01,mist,Very Low,3.42,16.62
ADC0,4.8,Buffet,motorcycle,28.46,mist,Moderate,13.76,32.58
3901,4.6,Drinks,motorcycle,20.8,clear sky,High,16.12,41.57
908C,4.5,Drinks,motorcycle,20.16,scattered clouds,High,22.77,50.62
A2C,4.6,Meal,scooter,27.04,smoke,Very High,20.48,61.07
BC2F,4.8,Meal,scooter,28.5,overcast clouds,Very High,22.64,64.28
590F,4.2,Meal,motorcycle,20.19,mist,High,15.7,37.48
A352,4.9,Meal,motorcycle,22.14,clear sky,High,22.28,37.97
4124,4.6,Buffet,scooter,28.48,mist,Low,2.29,16.65
AF35,4.6,Drinks,electric_scooter,28.48,overcast clouds,Very High,19.02,68.75
3364,4.8,Snack,motorcycle,24.91,clear sky,High,17.3,41.22
57A4,4.5,Snack,motorcycle,23.16,haze,Moderate,10.55,29.67
A710,4.6,Buffet,motorcycle,22.21,clear sky,High,14.61,38.45
4F51,4.4,Snack,motorcycle,26.07,haze,Moderate,8.84,27.53
9AB,4.6,Snack,motorcycle,23.1,clear sky,High,9.82,36.52
AEB0,4.2,Buffet,scooter,28.5,overcast clouds,Very High,20.89,65.82
861,4.6,Meal,bicycle,20.29,clear sky,Very High,26.08,47.2
61CF,4.6,Buffet,scooter,28.42,mist,Moderate,8.9,30.0
41FE,4.2,Buffet,motorcycle,27.94,smoke,Low,5.06,27.43
2.00E+82,4.8,Snack,motorcycle,23.31,haze,Moderate,6.7,26.17
28AD,4.6,Snack,motorcycle,23.72,clear sky,High,15.56,42.75
8BB,4.6,Snack,motorcycle,20.7,clear sky,High,20.42,36.85
C9D9,4.6,Drinks,scooter,27.99,haze,High,12.01,45.87
6312,4.6,Snack,motorcycle,23.93,clear sky,Very High,27.74,62.37
1713,4.8,Buffet,motorcycle,23.48,clear sky,Very High,25.07,65.38
73EE,4.6,Snack,motorcycle,23.03,clear sky,Moderate,11.98,33.88
29A4,4.9,Buffet,motorcycle,20.61,clear sky,High,12.81,37.27
15A9,5.0,Buffet,scooter,28.49,mist,Low,4.41,17.38
CE3B,4.6,Buffet,motorcycle,25.84,clear sky,High,20.32,35.08
1776,5.0,Buffet,scooter,20.09,mist,Moderate,8.81,33.0
1E0E,4.9,Buffet,motorcycle,23.77,haze,High,13.58,36.87
521C,4.7,Snack,motorcycle,22.2,haze,Moderate,13.4,35.87
4D0D,4.6,Snack,motorcycle,22.09,haze,Moderate,11.77,34.65
CD8F,4.8,Buffet,motorcycle,28.0,haze,Moderate,11.43,26.23
4B02,4.9,Meal,motorcycle,25.79,haze,High,16.05,39.37
B2A3,4.5,Meal,motorcycle,24.94,clear sky,High,14.56,33.98
87C0,4.7,Drinks,motorcycle,22.14,haze,Moderate,9.41,38.77
D292,5.0,Meal,motorcycle,25.19,clear sky,High,16.51,33.82
8.20E+02,4.6,Buffet,scooter,24.02,haze,Moderate,9.07,25.53
62DF,4.6,Buffet,motorcycle,28.01,smoke,High,12.44,39.63
C5F1,4.7,Drinks,electric_scooter,27.99,haze,High,15.19,48.28
CB95,4.6,Snack,electric_scooter,27.99,haze,Very High,23.5,61.8
A91E,4.8,Meal,scooter,25.87,haze,Low,4.64,19.02
613A,4.0,Meal,scooter,24.9,clear sky,High,22.17,45.15
68F,4.6,Drinks,scooter,22.23,clear sky,Moderate,17.06,39.9
8784,4.7,Meal,scooter,23.88,haze,Moderate,9.34,25.18
DF90,4.1,Drinks,motorcycle,25.34,clear sky,Very High,36.83,68.7
2F91,4.7,Meal,scooter,20.04,mist,Moderate,5.91,25.0
5110,4.9,Meal,electric_scooter,20.81,clear sky,High,13.86,39.78
DA85,4.7,Drinks,scooter,25.84,clear sky,Moderate,18.31,36.87
8824,4.7,Snack,motorcycle,24.01,haze,Low,10.23,25.83
E141,5.0,Buffet,motorcycle,25.36,clear sky,Very High,33.81,58.07
16D8,4.9,Buffet,motorcycle,27.85,smoke,High,8.97,39.17
7CB3,4.9,Buffet,motorcycle,22.83,haze,Moderate,7.62,27.22
9239,4.8,Buffet,scooter,22.87,haze,Moderate,8.03,28.63
D7B3,4.8,Snack,motorcycle,25.36,clear sky,Very High,33.83,55.13
885F,4.0,Meal,motorcycle,22.16,haze,Low,2.22,12.07
4B69,4.4,Snack,electric_scooter,28.46,mist,High,12.32,44.17
54C3,4.8,Buffet,motorcycle,23.9,clear sky,High,18.19,45.35
4176,5.0,Drinks,motorcycle,23.42,haze,Moderate,6.25,37.58
4D8B,4.7,Meal,motorcycle,20.61,clear sky,Moderate,9.99,23.42
A095,4.6,Buffet,scooter,22.32,haze,Very High,18.39,56.2
7058,4.4,Snack,motorcycle,26.01,haze,Moderate,11.09,28.75
7.00E+46,4.8,Buffet,scooter,25.86,haze,Low,2.99,14.68
10AC,5.0,Drinks,electric_scooter,25.78,haze,High,13.92,42.43
F21,4.4,Buffet,scooter,25.86,haze,Low,7.57,23.43
ADF5,4.5,Drinks,motorcycle,22.18,clear sky,High,17.05,48.85
9A91,4.7,Drinks,motorcycle,22.4,haze,Very High,29.57,92.8
2E6C,5.0,Snack,electric_scooter,20.61,clear sky,Moderate,8.24,31.1
85A7,4.9,Meal,scooter,28.45,mist,High,26.98,46.25
C874,4.8,Drinks,scooter,28.96,scattered clouds,Low,4.64,23.95
A045,4.7,Drinks,motorcycle,20.09,mist,High,9.71,45.13
A6A2,3.5,Drinks,motorcycle,22.67,haze,Very High,20.95,64.45
1027,4.6,Snack,scooter,22.77,haze,High,18.84,49.12
42A0,4.7,Snack,motorcycle,28.5,overcast clouds,Very High,24.11,69.88
30CA,4.6,Drinks,scooter,23.62,haze,Low,4.79,22.95
44D,4.6,Drinks,scooter,22.31,clear sky,Low,7.78,29.88
881A,4.6,Snack,motorcycle,23.98,clear sky,High,16.4,47.92
7774,4.2,Meal,motorcycle,20.7,clear sky,Moderate,14.26,29.13
D8C5,4.8,Meal,motorcycle,25.48,clear sky,Low,4.58,14.35
A79A,4.9,Snack,scooter,23.83,haze,High,13.96,43.08
4EE4,4.5,Snack,scooter,23.4,haze,Moderate,10.08,30.47
3360,4.9,Buffet,scooter,20.7,clear sky,Moderate,11.18,29.18
427,6.0,Meal,electric_scooter,23.71,clear sky,Very High,28.81,59.68
4D4F,4.6,Snack,electric_scooter,20.05,mist,Very Low,2.28,17.37
E14,4.0,Drinks,scooter,24.95,mist,Moderate,9.9,36.2
DE3C,4.9,Meal,scooter,25.02,clear sky,Very High,24.56,49.38
9AA5,4.7,Meal,motorcycle,22.83,haze,Moderate,7.62,25.18
2A23,4.4,Meal,motorcycle,23.77,haze,Moderate,7.14,26.27
7800,4.9,Meal,electric_scooter,22.77,haze,Very Low,1.83,8.0
39F5,4.6,Buffet,motorcycle,24.02,haze,Low,8.42,21.3
815C,4.6,Snack,motorcycle,20.5,clear sky,High,26.27,46.05
6A69,3.7,Snack,scooter,22.25,clear sky,High,19.59,43.67
1850,4.6,Meal,electric_scooter,22.59,haze,Very High,25.63,60.87
80D9,4.9,Drinks,scooter,23.99,haze,Moderate,13.87,38.47
B94C,4.6,Snack,motorcycle,22.79,haze,High,11.08,37.95
7D88,4.6,Drinks,motorcycle,22.25,clear sky,High,16.69,46.88
A2E3,4.9,Buffet,scooter,27.92,smoke,Low,4.99,25.2
AB4F,4.7,Buffet,scooter,23.1,clear sky,Low,2.41,16.68
CA7B,4.0,Snack,scooter,28.02,haze,Very High,25.59,55.62
B8E0,4.7,Meal,scooter,22.33,haze,Very High,25.19,56.7
150F,4.6,Buffet,scooter,22.46,clear sky,High,15.37,42.95
7172,3.5,Buffet,motorcycle,22.21,clear sky,High,14.73,38.82
8EEA,4.6,Meal,motorcycle,20.29,scattered clouds,High,18.86,44.13
5C5C,4.9,Drinks,scooter,22.14,haze,Moderate,12.79,39.47
5D27,4.8,Meal,motorcycle,28.45,mist,Low,4.52,17.73
31D2,5.0,Drinks,motorcycle,22.77,haze,Low,9.11,26.98
8A4D,4.3,Drinks,motorcycle,22.68,haze,Very High,18.42,56.22
FAC,4.9,Meal,electric_scooter,20.55,clear sky,Low,7.88,19.88
CE13,4.7,Drinks,motorcycle,28.0,haze,High,13.02,46.43
5CDB,4.6,Meal,scooter,22.94,haze,Moderate,11.47,31.05
304B,4.3,Meal,scooter,28.02,smoke,Very High,19.55,54.57
217F,4.2,Drinks,motorcycle,25.94,haze,Low,5.35,26.08
4ABE,4.8,Buffet,motorcycle,22.14,haze,Very High,23.47,49.93
B1BC,4.9,Snack,scooter,20.61,clear sky,High,10.91,35.42
3445,4.5,Snack,motorcycle,23.67,haze,Moderate,8.53,34.13
1FAB,4.9,Buffet,motorcycle,22.16,haze,Very Low,2.44,11.95
BB5A,4.5,Drinks,scooter,20.7,clear sky,High,15.51,45.43
99D2,4.6,Buffet,scooter,26.25,haze,Very High,31.98,53.27
B946,4.7,Buffet,electric_scooter,23.13,haze,Low,4.9,22.07
BD68,4.9,Meal,electric_scooter,22.69,haze,High,13.79,42.63
78D1,4.0,Snack,scooter,25.01,mist,High,11.64,39.22
A45A,4.8,Snack,motorcycle,23.21,haze,Very High,15.96,54.12
283E,4.7,Drinks,scooter,28.59,mist,Moderate,11.16,39.25
70C1,4.5,Buffet,scooter,20.7,clear sky,High,12.35,33.8
9195,4.5,Buffet,motorcycle,22.21,haze,Moderate,16.14,33.98
